UPH,mcType,material,pinPkgTyp,oper,wireType,wirePerDie,dieX,dieY,grindingThickness,pkgX,pkgY,pkgZ,leadCount,stripSize,wireCount,wireDia
1546.836248,ICONN,L/F,DFN,2200,AG,0.025285945,50,48,105,3,2,0.45,8,1600,8,0.8
1261.722593,ICONN,L/F,DFN,2200,AG,0.034876121,67,34,105,3,2,0.45,8,1600,10,0.8
860.8532748,ICONN,L/F,DFN,2200,AG,0.079236967,176,187,200,8,6,0.75,8,216,10,0.8
887.3563494,ICONN,L/F,DFN,2200,AG,0.113287975,176,187,200,8,6,0.75,8,216,10,0.8
895.059756,ICONN,L/F,DFN,2200,AG,0.113777929,176,187,200,8,6,0.75,8,216,10,0.8
892.226949,ICONN,L/F,DFN,2200,AG,0.114021425,176,187,200,8,6,0.75,8,216,10,0.8
877.0187489,ICONN,L/F,DFN,2200,AG,0.116497659,176,187,200,8,6,0.75,8,216,10,0.8
873.100288,ICONN,L/F,DFN,2200,AG,0.132007859,176,187,105,8,6,0.75,8,216,10,0.8
885.5675751,ICONN,L/F,DFN,2200,AG,0.140517005,176,187,200,8,6,0.75,8,216,10,0.8
893.0680585,ICONN,L/F,DFN,2200,AG,0.141805394,176,187,200,8,6,0.75,8,216,10,0.8
895.3401559,ICONN,L/F,DFN,2200,AG,0.142473883,176,187,200,8,6,0.75,8,216,10,0.8
892.4452077,ICONN,L/F,DFN,2200,AG,0.14252362,176,187,200,8,6,0.75,8,216,10,0.8
887.982732,ICONN,L/F,DFN,2200,AG,0.143739669,176,187,200,8,6,0.75,8,216,10,0.8
893.3435765,ICONN,L/F,DFN,2200,AG,0.175814291,176,187,200,8,6,0.75,8,216,10,0.8
894.317106,ICONN,L/F,DFN,2200,AG,0.19751538,176,187,200,8,6,0.75,8,216,10,0.8
889.5272079,ICONN,L/F,DFN,2200,AG,0.202310143,176,187,200,8,6,0.75,8,216,10,0.8
1420.580887,ICONN,L/F,DFN,2200,AU,0.026020846,68,66,125,3,2,0.55,8,1600,10,0.7
1415.664635,ICONN,L/F,DFN,2200,AU,0.026773041,68,66,125,3,2,0.55,8,1600,10,0.7
1406.034728,ICONN,L/F,DFN,2200,AU,0.026804157,68,66,125,3,2,0.55,8,1600,10,0.7
1406.863954,ICONN,L/F,DFN,2200,AU,0.026946438,68,66,125,3,2,0.55,8,1600,10,0.7
1378.523104,ICONN,L/F,DFN,2200,AU,0.033380405,54,66,125,3,2,0.55,8,1600,10,0.7
1386.801851,ICONN,L/F,DFN,2200,AU,0.033685856,54,66,125,3,2,0.55,8,1600,10,0.7
1373.849457,ICONN,L/F,DFN,2200,AU,0.03373533,54,66,125,3,2,0.55,8,1600,10,0.7
1454.337728,ICONN,L/F,DFN,2200,AU,0.033885634,54,66,125,3,2,0.55,8,1600,10,0.7
1388.965296,ICONN,L/F,DFN,2200,AU,0.03412881,54,66,125,3,2,0.55,8,1600,10,0.7
1376.202408,ICONN,L/F,DFN,2200,AU,0.03414732,54,66,125,3,2,0.55,8,1600,10,0.7
1431.984254,ICONN,L/F,DFN,2200,AU,0.034158832,54,66,125,3,2,0.55,8,1600,10,0.7
1439.969003,ICONN,L/F,DFN,2200,AU,0.034231894,54,66,125,3,2,0.55,8,1600,10,0.7
1346.971602,ICONN,L/F,DFN,2200,AU,0.034254367,54,66,125,3,2,0.55,8,1600,10,0.7
1378.221702,ICONN,L/F,DFN,2200,AU,0.034430905,54,66,125,3,2,0.55,8,1600,10,0.7
1380.104658,ICONN,L/F,DFN,2200,AU,0.034449972,54,66,125,3,2,0.55,8,1600,10,0.7
1402.534837,ICONN,L/F,DFN,2200,AU,0.03449757,54,66,125,3,2,0.55,8,1600,10,0.7
1383.347807,ICONN,L/F,DFN,2200,AU,0.034527014,54,66,125,3,2,0.55,8,1600,10,0.7
